"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ACTMAP",3.66344760603684,-0.176376113532554,0.241326287722185,0.221584783075802,0.467087678871879,"ACTMAP"
"ACTN1",34.7731868784779,-0.273862051957563,0.115038303877203,0.007982962704392,0.0461127886978677,"ACTN1"
"ACTN1-DT",0.0493341984913715,-0.00640629553634381,0.259693230285816,0.922054210209181,NA,"ACTN1-DT"
"ACTN2",284.603029759888,-0.749610559144811,0.0515993206165233,1.0445479219757e-48,2.0533527197463e-46,"ACTN2"
"ACTN3",0.305868605749668,0.0204052421391864,0.253248613523351,0.710868350935725,NA,"ACTN3"
"ACTN4",23.231965027082,-0.0451391079992142,0.12644402254049,0.700689347709865,0.860740540839032,"ACTN4"
"ACTR10",62.4000617768755,-0.0517216158275523,0.0733852796918259,0.482418498702339,0.72351541579046,"ACTR10"
"ACTR1A",61.6190498318768,-0.156656339891398,0.0775819832799861,0.035175870870619,0.140091051416036,"ACTR1A"
"ACTR1B",16.9072003892085,0.17172082025516,0.126444670296837,0.117744675573793,0.317576482976568,"ACTR1B"
"ACTR2",35.3014460137271,0.0961794297247867,0.103738758795177,0.311653032665712,0.568056351947384,"ACTR2"
"ACTR3",32.0108700969344,-0.220821134606814,0.110557289333265,0.027196734732745,0.116095303655763,"ACTR3"
"ACTR3-AS1",0.396208505354534,-0.0147006065898642,0.250120922533912,0.908833372513719,NA,"ACTR3-AS1"
"ACTR3B",1.32671970973333,0.160496803025893,0.279279577785782,0.182872387077448,0.416419457343235,"ACTR3B"
"ACTR3C",0.0277430980355774,-0.00412719281454089,0.259793870611995,0.95232014358986,NA,"ACTR3C"
"ACTR5",1.00838829789114,-0.118156297773394,0.272014196421266,0.236791498519488,0.48550747113326,"ACTR5"
"ACTR6",12.37178418686,-0.166852711327125,0.154942935723856,0.189979081033001,0.425620844745214,"ACTR6"
"ACTR8",4.56741293885941,-0.203238700262673,0.231250354103988,0.181601504091776,0.414350475694347,"ACTR8"
"ACTRT3",0.215215827003141,-0.0248673818410322,0.257227045209733,0.970087558060144,NA,"ACTRT3"
"ACVR1",2.68568556118466,0.0466463413552055,0.211955014930278,0.7121718479095,0.866842475636947,"ACVR1"
"ACVR1B",8.17434503955434,0.529036051517118,0.191865656770773,0.000773774784203491,0.00683473748834297,"ACVR1B"
"ACVR1C",0.0261159295938867,0.0138644424443206,0.259603158958138,0.87704740090376,NA,"ACVR1C"
"ACVR2A",16.3805520025886,0.403826999739335,0.134318183492322,0.000739913203987871,0.00658800284456575,"ACVR2A"
"ACVR2B",10.2771624666046,0.431208280694068,0.173803266716852,0.00245874569109492,0.0178523092103494,"ACVR2B"
"ACVR2B-AS1",0.334371445621546,0.0324056704416759,0.255200043778929,0.563356834798033,NA,"ACVR2B-AS1"
"ACY1",0.0313639082964168,-0.00411439257547345,0.259746888150563,0.934122716845334,NA,"ACY1"
"ACYP1",22.6175732455159,-0.189363663866289,0.12840611065095,0.0931287944295459,0.27284341961287,"ACYP1"
